trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
998090,30,3,"Marietta Transfer Center",,1,2981809,shp-30-52,0,0
1010020,45,1,"Marietta Transfer Center",,1,2943002,shp-45-51,0,0
101090,20,3,"Marietta Transfer Center",,1,2973709,shp-20-54,0,0
1011070,30,2,"Hamilton E. Holmes Station",,0,2948907,shp-30-01,0,0
1013070,20,2,"Marietta Transfer Center",,1,2948607,shp-20-54,0,0
1018090,15,3,"Cumberland Transfer Center",,0,2973509,shp-15-01,0,0
1021070,30,2,"Hamilton E. Holmes Station",,0,2948107,shp-30-01,0,0
1027070,25,2,"Cumberland Transfer Center",,1,2948707,shp-25-01,0,0
1034020,RAPID,1,"KSU-Kennesaw Campus limited stops",,1,2940302,shp-Rapid-52,0,0
1034090,RAPID,3,"KSU-Kennesaw Campus limited stops",,1,2979109,shp-Rapid-52,0,0
1035010,GREEN,4,"Circulator Green - Battery/Windy Hill",,0,2846301,shp-Green-05,0,0
1037090,45,3,"Marietta Transfer Center",,1,2976609,shp-45-51,0,0
1038090,15,3,"Marietta Transfer Center",,1,2973509,shp-15-51,0,0
1039070,25,2,"Cumberland Transfer Center",,1,2948807,shp-25-01,0,0
1040090,30,3,"Hamilton E. Holmes Station",,0,2975309,shp-30-01,0,0
1051020,15,1,"Cumberland Transfer Center",,0,2935002,shp-15-01,0,0
1063010,RAPID,4,"KSU-Kennesaw Campus limited stops",,1,2846001,shp-Rapid-52,0,0
1066070,20,2,"Cumberland Transfer Center",,0,2948607,shp-20-03,0,0
1068020,15,1,"Marietta Transfer Center",,1,2936302,shp-15-51,0,0
1071020,RAPID,1,"Arts Center Station with limited stops",,0,2938202,shp-Rapid-01,0,0
1076090,15,3,"Cumberland Transfer Center",,0,2974009,shp-15-01,0,0
1083090,25,3,"Cumberland Transfer Center",,1,2982009,shp-25-01,0,0
1084090,30,3,"Marietta Transfer Center",,1,2981509,shp-30-52,0,0
109090,40,3,"KSU-Kennesaw Campus",,0,2976709,shp-40-01,0,0
1094020,30,1,"Hamilton E. Holmes Station",,0,2934202,shp-30-01,0,0
1096020,30,1,"Hamilton E. Holmes Station",,0,2933802,shp-30-01,0,0
1107090,40,3,"KSU-Kennesaw Campus",,0,2976709,shp-40-01,0,0
1108020,RAPID,1,"KSU-Kennesaw Campus limited stops",,1,2940402,shp-Rapid-52,0,0
1128020,30,1,"Marietta Transfer Center",,1,2934202,shp-30-52,0,0
1130070,10,2,"Arts Center Station",,0,2948207,shp-10-03,0,0
1132020,50,1,"Marietta Transfer Center",,1,2935102,shp-50-51,0,0
1135020,30,1,"Marietta Transfer Center",,1,2934002,shp-30-52,0,0
1140090,30,3,"Marietta Transfer Center",,1,2975309,shp-30-52,0,0
1141020,RAPID,1,"Arts Center Station with limited stops",,0,2940302,shp-Rapid-01,0,0
1141090,RAPID,3,"Arts Center Station with limited stops",,0,2979109,shp-Rapid-01,0,0
1140020,30,1,"Marietta Transfer Center",,1,2936402,shp-30-52,0,0
1143020,10,1,"Arts Center Station",,0,2935502,shp-10-03,0,0
